gemeente,predicted_num_accidents,total_pop,people_that_cycle,accidents_per_100_cyclists,bin_encoded,risk_tier
Gent,437,272657.0,193586.47,0.2257389165678779,2,Red
Brugge,223,120283.0,85400.93,0.2611212781874858,2,Red
Leuven,213,104906.0,74483.26,0.28597029721846223,2,Red
Kortrijk,136,80776.0,57350.96,0.237136396670605,2,Red
Mechelen,133,89655.0,63655.049999999996,0.20893864665882755,2,Red
Aalst,129,92131.0,65413.009999999995,0.19720847580626547,1,Yellow
Hasselt,111,90249.0,64076.78999999999,0.17322965148535063,1,Yellow
Lokeren,96,50606.0,35930.259999999995,0.26718426195635664,2,Red
Oostende,95,72817.0,51700.07,0.1837521690009317,1,Yellow
Genk,94,68058.0,48321.18,0.1945316732745351,1,Yellow
Beveren,72,51346.0,36455.659999999996,0.197500196128667,1,Yellow
Dendermonde,72,47539.0,33752.689999999995,0.2133163312316737,2,Red
Brasschaat,70,38416.0,27275.359999999997,0.25664189216934263,2,Red
Ieper,69,35587.0,25266.77,0.27308595439781186,2,Red
Vilvoorde,56,48040.0,34108.4,0.1641824301345123,1,Yellow
Evergem,52,37254.0,26450.34,0.19659482638030362,1,Yellow
Lier,50,38517.0,27347.07,0.18283494356068125,1,Yellow
Geel,48,42427.0,30123.17,0.1593457793452681,1,Yellow
Pelt,48,34635.0,24590.85,0.19519455407194142,1,Yellow
Herentals,44,29001.0,20590.71,0.2136886003445243,2,Red
Izegem,44,29427.0,20893.17,0.21059513707110986,2,Red
Deinze,42,46026.0,32678.46,0.12852502841321164,1,Yellow
Heist-op-den-Berg,41,44723.0,31753.329999999998,0.12912031588497963,1,Yellow
Lommel,40,35208.0,24997.68,0.1600148493780223,1,Yellow
Houthalen-Helchteren,37,30945.0,21970.949999999997,0.16840418825767664,1,Yellow
Aalter,36,29830.0,21179.3,0.16997728914553362,1,Yellow
Aarschot,36,31514.0,22374.94,0.16089428619696858,1,Yellow
Bree,36,17210.0,12219.099999999999,0.2946207167467326,2,Red
Zele,32,21521.0,15279.91,0.20942531729571703,2,Red
Diest,30,25141.0,17850.11,0.16806619118873775,1,Yellow
Westerlo,30,25691.0,18240.61,0.16446818390393741,1,Yellow
Halle,29,42884.0,30447.64,0.09524547715356592,0,Green
Hamme,29,25706.0,18251.26,0.15889313943256522,1,Yellow
Tienen,29,36890.0,26191.899999999998,0.1107212535173088,0,Green
Brecht,28,30664.0,21771.44,0.12860885637330374,1,Yellow
Tongeren,27,32459.0,23045.89,0.1171575495674066,0,Green
Wervik,25,19207.0,13636.97,0.18332518147359714,1,Yellow
Asse,24,35882.0,25476.219999999998,0.09420549830390852,0,Green
Maasmechelen,24,40486.0,28745.059999999998,0.08349260707752916,0,Green
Nijlen,22,23747.0,16860.37,0.13048349472757714,1,Yellow
Bilzen,21,33109.0,23507.39,0.08933360955852607,0,Green
Maaseik,20,25828.0,18337.879999999997,0.10906386125331828,0,Green
Herent,19,23081.0,16387.51,0.11594195823526578,0,Green
Torhout,19,21159.0,15022.89,0.1264736678495283,1,Yellow
Balen,18,23777.0,16881.67,0.10662452233694891,0,Green
Zemst,18,23369.0,16591.989999999998,0.10848608274233532,0,Green
Nieuwpoort,16,11399.0,8093.29,0.1976946334556157,1,Yellow
Lanaken,15,26457.0,18784.469999999998,0.07985319788101554,0,Green
Malle,14,16248.0,11536.08,0.1213583817033169,0,Green
Melle,14,12100.0,8591.0,0.16296123850541264,1,Yellow
Kampenhout,13,12606.0,8950.26,0.14524717717697586,1,Yellow
Lille,13,17130.0,12162.3,0.10688767749521062,0,Green
Zaventem,13,37271.0,26462.41,0.049126288951006354,0,Green
Beersel,12,26593.0,18881.03,0.06355585473885694,0,Green
Meise,12,20392.0,14478.32,0.08288254438360253,0,Green
Peer,12,16685.0,11846.349999999999,0.10129702397784973,0,Green
Ardooie,10,9514.0,6754.94,0.14803980494275304,1,Yellow
Herk-de-Stad,10,12927.0,9178.17,0.10895418149805462,0,Green
Nazareth,10,12428.0,8823.88,0.11332883040113872,0,Green
Dessel,9,10076.0,7153.96,0.12580444956359832,1,Yellow
As,8,8298.0,5891.58,0.13578700450473388,1,Yellow
Lummen,8,15347.0,10896.369999999999,0.07341894594254784,0,Green
Meulebeke,8,11234.0,7976.139999999999,0.10029914219158641,0,Green
Wemmel,5,18292.0,12987.32,0.0384990898815152,0,Green
Sint-Pieters-Leeuw,4,36732.0,26079.719999999998,0.015337587980239053,0,Green
Heers,3,7574.0,5377.54,0.05578759060834508,0,Green
Kraainem,3,13940.0,9897.4,0.030310990765251483,0,Green
Pepingen,3,4564.0,3240.44,0.09258001999728431,0,Green
