,Extreme Risk,High Risk,Low Risk,Medium Risk
Portfolio_Size,1981,6541,15778,12709
Median_age,23.0,27.0,44.0,31.0
Min_age,18,18,18,18
Max_age,50,72,75,75
Median_nYears,2.0,3.0,5.0,4.0
Min_nYears,0,0,0,0
Max_nYears,15,15,15,15
Median_carVal,"€17,135.00","€15,775.00","€14,620.00","€15,280.00"
Min_carVal,1080,1000,1010,1005
Max_carVal,49825,49995,49990,49990
Median_density,270 inh/km²,223 inh/km²,64 inh/km²,139 inh/km²
Min_density,129.6779531,25.91743539,14.0,14.0
Max_density,297.3851697,297.3851697,297.3851697,297.3851697
Median_Expected_Frequency,0.7471,0.6171,0.3192,0.4629
Min_Expected_Frequency,0.4583799289239758,0.2931034488289403,0.08584695187287204,0.19697013609858766
Max_Expected_Frequency,1.0727191827139433,0.9637358372475284,0.6311374733517411,0.8254960024353463
Median_Expected_Severity,"€1,109.58",€861.18,€526.00,€693.03
Min_Expected_Severity,739.4262726352258,492.90221912754095,223.05569880849177,367.44764256400526
Max_Expected_Severity,1676.8535414401945,1701.0841582869118,1236.490738033607,1451.2446938575144
Median_Expected_Cost,€789.94,€521.25,€168.81,€318.75
Min_Expected_Cost,684.4628303190761,429.73008637471116,41.98076488197323,246.18198308481303
Max_Expected_Cost,1402.7492898753412,684.3817345554194,246.17039743586756,429.6891347401762
Top_gender,Male,Male,Male,Male
%_gender,86.3%,75.1%,58.6%,69.0%
Top_job,Unemployed,Employed,Employed,Employed
%_job,58.6%,34.6%,31.0%,37.5%
Top_carType,A,A,A,A
%_carType,31.8%,27.3%,24.6%,25.4%
Top_carCat,Small,Small,Large,Medium
%_carCat,42.1%,39.5%,39.3%,37.6%
